"filename", "language", "PHP", "Markdown", "JavaScript", "SCSS", "SVG", "CSS", "Less", "Django HTML", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\demae-sample\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\demae-sample\Routes\ApiRoute.php", "PHP", 127, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 146
"c:\xampp\htdocs\demae-sample\Routes\AppRoute.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\xampp\htdocs\demae-sample\app\Channels\Notification.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\demae-sample\app\Controllers\AdminController.php", "PHP", 221, 0, 0, 0, 0, 0, 0, 0, 0, 13, 24, 258
"c:\xampp\htdocs\demae-sample\app\Controllers\DashboardController.php", "PHP", 291, 0, 0, 0, 0, 0, 0, 0, 0, 35, 25, 351
"c:\xampp\htdocs\demae-sample\app\Controllers\HomeController.php", "PHP", 191, 0, 0, 0, 0, 0, 0, 0, 0, 9, 19, 219
"c:\xampp\htdocs\demae-sample\app\Controllers\UserController.php", "PHP", 128, 0, 0, 0, 0, 0, 0, 0, 0, 24, 20, 172
"c:\xampp\htdocs\demae-sample\app\Models\ActionLog.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\demae-sample\app\Models\Address.php", "PHP", 347, 0, 0, 0, 0, 0, 0, 0, 0, 113, 64, 524
"c:\xampp\htdocs\demae-sample\app\Models\Administrator.php", "PHP", 415, 0, 0, 0, 0, 0, 0, 0, 0, 97, 60, 572
"c:\xampp\htdocs\demae-sample\app\Models\Branch.php", "PHP", 374, 0, 0, 0, 0, 0, 0, 0, 0, 59, 62, 495
"c:\xampp\htdocs\demae-sample\app\Models\Cart.php", "PHP", 280, 0, 0, 0, 0, 0, 0, 0, 0, 96, 53, 429
"c:\xampp\htdocs\demae-sample\app\Models\Category.php", "PHP", 234, 0, 0, 0, 0, 0, 0, 0, 0, 56, 40, 330
"c:\xampp\htdocs\demae-sample\app\Models\Colors.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 47
"c:\xampp\htdocs\demae-sample\app\Models\Columns.php", "PHP", 220, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 246
"c:\xampp\htdocs\demae-sample\app\Models\Contact.php", "PHP", 236, 0, 0, 0, 0, 0, 0, 0, 0, 73, 43, 352
"c:\xampp\htdocs\demae-sample\app\Models\Delivery.php", "PHP", 97, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 117
"c:\xampp\htdocs\demae-sample\app\Models\Error.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 41
"c:\xampp\htdocs\demae-sample\app\Models\Favorite.php", "PHP", 148, 0, 0, 0, 0, 0, 0, 0, 0, 62, 32, 242
"c:\xampp\htdocs\demae-sample\app\Models\Log.php", "PHP", 91, 0, 0, 0, 0, 0, 0, 0, 0, 57, 28, 176
"c:\xampp\htdocs\demae-sample\app\Models\Messaging.php", "PHP", 91, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 110
"c:\xampp\htdocs\demae-sample\app\Models\Notification.php", "PHP", 96, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 116
"c:\xampp\htdocs\demae-sample\app\Models\OperationalTime.php", "PHP", 69, 0, 0, 0, 0, 0, 0, 0, 0, 40, 19, 128
"c:\xampp\htdocs\demae-sample\app\Models\Order.php", "PHP", 230, 0, 0, 0, 0, 0, 0, 0, 0, 128, 55, 413
"c:\xampp\htdocs\demae-sample\app\Models\PaymentDetail.php", "PHP", 325, 0, 0, 0, 0, 0, 0, 0, 0, 40, 48, 413
"c:\xampp\htdocs\demae-sample\app\Models\Product.php", "PHP", 394, 0, 0, 0, 0, 0, 0, 0, 0, 135, 72, 601
"c:\xampp\htdocs\demae-sample\app\Models\Promotion.php", "PHP", 91, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 111
"c:\xampp\htdocs\demae-sample\app\Models\Setting.php", "PHP", 525, 0, 0, 0, 0, 0, 0, 0, 0, 337, 139, 1001
"c:\xampp\htdocs\demae-sample\app\Models\Subscription.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\xampp\htdocs\demae-sample\app\Models\TrafficLogger.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\xampp\htdocs\demae-sample\app\Models\User.php", "PHP", 327, 0, 0, 0, 0, 0, 0, 0, 0, 89, 53, 469
"c:\xampp\htdocs\demae-sample\app\Models\tables_creation.php", "PHP", 148, 0, 0, 0, 0, 0, 0, 0, 0, 60, 26, 234
"c:\xampp\htdocs\demae-sample\app\Views\404.php", "PHP", 376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 445
"c:\xampp\htdocs\demae-sample\app\Views\admin\auth.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65
"c:\xampp\htdocs\demae-sample\app\Views\admin\footer.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
"c:\xampp\htdocs\demae-sample\app\Views\admin\header.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 81
"c:\xampp\htdocs\demae-sample\app\Views\admin\home.php", "PHP", 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 203
"c:\xampp\htdocs\demae-sample\app\Views\admin\navbar.php", "PHP", 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 188
